,COMPANY NAME,RANK 2020,2020 REVENUE(₹ Cr),2020 PAT IN CRORES,2020 MARKET CAP(₹ Cr),2020 COMPANY TYPE,2020 REVENUE(₹ Cr)_%CHANGE,2020 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
0,Reliance Industries Ltd.,1,610806,39354,1246740.0,Large-Cap,6.066094434015834,-0.5910882085480449,NEGATIVE,LOW
1,State Bank of India,4,368010,19767,205587.0,Large-Cap,11.286503551696923,759.8086124401914,EXCELLENT,LOW
2,Indian Oil Corporation Ltd.,2,488518,-893,78565.0,Large-Cap,-8.21592230674856,-105.13927255985267,NEGATIVE,NEGATIVE
3,Oil And Natural Gas Corporation Ltd.,3,406388,10907,90615.0,Large-Cap,-6.13772109330611,-64.23230799501542,NEGATIVE,NEGATIVE
4,Rajesh Exports Ltd.,8,195607,1205,13368.0,Mid-Cap,11.247796166751977,-6.73374613003096,NEGATIVE,LOW
5,Tata Motors Ltd.,7,264106,-12070,47878.0,Large-Cap,-13.48729035639413,-58.128078817733986,NEGATIVE,NEGATIVE
6,Bharat Petroleum Corporation Ltd.,5,287901,3055,82333.0,Large-Cap,-4.415338645418327,-60.8433734939759,NEGATIVE,NEGATIVE
7,Hindustan Petroleum Corporation Ltd.,6,270773,2638,31814.0,Large-Cap,-2.535131165951565,-60.568011958146485,NEGATIVE,NEGATIVE
8,Tata Consultancy Services Ltd.,9,161541,32340,1003464.0,Large-Cap,7.141151657447571,2.7580071174377228,LOW,LOW
9,ICICI Bank Ltd.,10,149786,9566,323211.0,Large-Cap,14.07399509542595,124.87070992007523,EXCELLENT,LOW
10,Tata Steel Ltd.,13,142037,1556,54896.0,Large-Cap,-11.081270580575692,-84.77197103151302,NEGATIVE,NEGATIVE
11,HDFC Bank Ltd.,12,147068,27253,749216.0,Large-Cap,18.500970936369423,22.035643919039945,MODERATE,MODERATE
12,Larsen & Toubro Ltd.,11,148467,9549,148023.0,Large-Cap,3.7121122156014894,7.231892195395845,LOW,LOW
13,Housing Development Finance Corporation Ltd.,16,107542,21434,401874.0,Large-Cap,3.8210534445474202,32.05594233257347,MODERATE,LOW
14,Hindalco Industries Ltd.,14,119359,3767,46131.0,Large-Cap,-9.349201406557352,-31.446769790718836,NEGATIVE,NEGATIVE
15,NTPC Ltd.,15,117721,11600,89555.0,Large-Cap,19.78855037955105,-8.227848101265822,NEGATIVE,MODERATE
16,Bharti Airtel Ltd.,21,90598,-32183,256068.0,Large-Cap,4.6395860523671475,-7968.704156479218,NEGATIVE,LOW
17,Infosys Ltd.,19,93594,16594,473092.0,Large-Cap,9.393737508327781,7.725266164632563,LOW,LOW
18,Punjab National Bank,29,64306,438,27846.0,Large-Cap,8.05188695096952,-104.57680250783699,NEGATIVE,LOW
19,Coal India Ltd.,17,102185,16714,75716.0,Large-Cap,-33.26781037961953,-4.278105492239849,NEGATIVE,NEGATIVE
20,Canara Bank,34,61558,-1986,13579.0,Mid-Cap,13.431240671469899,-430.44925124792013,NEGATIVE,LOW
21,Vedanta Ltd.,22,87207,-6664,39243.0,Large-Cap,-9.523167264955491,-194.3241330502477,NEGATIVE,NEGATIVE
22,Bank of Baroda,20,91086,927,21834.0,Large-Cap,49.82975013570641,-15.727272727272728,NEGATIVE,MODERATE
23,ICICI Prudential Life Insurance Company Ltd.,75,22603,1066,62215.0,Large-Cap,-46.25115925142082,-6.32688927943761,NEGATIVE,NEGATIVE
24,Union Bank of India,46,43268,-3120,16151.0,Mid-Cap,9.942828103163512,6.7761806981519515,LOW,LOW
25,SBI Life Insurance Company Ltd.,45,44326,1422,82849.0,Large-Cap,-1.0138454667262171,7.239819004524888,LOW,NEGATIVE
26,Axis Bank Ltd.,23,80057,1853,179904.0,Large-Cap,13.989349584235105,-63.21953156014292,NEGATIVE,LOW
27,JSW Steel Ltd.,27,73872,4030,81051.0,Large-Cap,-13.051870858393851,-47.24440371776411,NEGATIVE,NEGATIVE
28,Grasim Industries Ltd.,24,79153,4425,54415.0,Large-Cap,7.179320523757295,149.85883681535856,EXCELLENT,LOW
29,Mahindra & Mahindra Ltd.,18,97559,127,81632.0,Large-Cap,-9.459685203058877,-97.61053621825023,NEGATIVE,NEGATIVE
30,HCL Technologies Ltd.,28,71265,11057,224430.0,Large-Cap,16.123513117158218,9.258893280632412,LOW,MODERATE
31,Maruti Suzuki India Ltd.,25,79112,5676,209840.0,Large-Cap,-10.89485836571493,-25.794221466858414,NEGATIVE,NEGATIVE
32,HDFC Life Insurance Company Ltd.,63,29748,1297,127501.0,Large-Cap,-23.519127930892637,1.5661707126076743,LOW,NEGATIVE
33,Power Finance Corporation Ltd.,33,62296,7122,26578.0,Large-Cap,14.935148797992657,-28.20564516129032,NEGATIVE,LOW
34,Steel Authority of India (SAIL) Ltd.,32,62764,2120,16512.0,Mid-Cap,-7.277293544098094,-9.710391822827939,NEGATIVE,NEGATIVE
35,Wipro Ltd.,30,63865,9722,198066.0,Large-Cap,3.6231178608515062,7.986226813284461,LOW,LOW
36,Bajaj Finserv Ltd.,35,54352,3369,116617.0,Large-Cap,27.56888701121908,4.659832246039143,LOW,MODERATE
37,GAIL (India) Ltd.,26,76313,9422,41957.0,Large-Cap,-2.3893273301697344,43.9572192513369,MODERATE,NEGATIVE
38,Motherson Sumi Systems Ltd.,31,63825,1170,41017.0,Large-Cap,-0.04854673014282135,-27.464352138871668,NEGATIVE,NEGATIVE
39,Redington (India) Ltd.,38,51513,515,5008.0,Mid-Cap,10.545290671473637,1.5779092702169626,LOW,LOW
40,Kotak Mahindra Bank Ltd.,39,50365,8593,352280.0,Large-Cap,9.539137432306052,19.280955024986117,MODERATE,LOW
41,ITC Ltd.,36,52010,15306,226073.0,Large-Cap,2.9126597807590326,21.553367217280815,MODERATE,LOW
42,Jindal Steel & Power Ltd.,44,44402,-109,22713.0,Large-Cap,-5.48945318320172,-93.37386018237082,NEGATIVE,NEGATIVE
43,General Insurance Corporation of India,37,51816,-359,22315.0,Large-Cap,14.960175714951301,-113.02140007254262,NEGATIVE,LOW
44,Bank of India,41,49277,-3051,13657.0,Mid-Cap,6.503414887179043,-43.77073350534464,NEGATIVE,LOW
45,Hindustan Unilever Ltd.,49,40487,6748,500830.0,Large-Cap,1.5730055193176118,11.463495209778658,LOW,LOW
46,Indian Bank,70,24726,861,7094.0,Mid-Cap,17.334978408389883,126.57894736842105,EXCELLENT,MODERATE
47,UltraTech Cement Ltd.,47,42772,5814,137576.0,Large-Cap,13.102572916942115,138.86606409202957,EXCELLENT,LOW
48,Vodafone Idea Ltd.,42,46569,-73878,26256.0,Large-Cap,12.575241134237436,405.9097445730329,EXCELLENT,LOW
49,Power Grid Corporation of India Ltd.,48,40938,11059,97897.0,Large-Cap,13.247946001272512,10.226253363899133,LOW,LOW
50,Adani Enterprises Ltd.,43,44414,1138,41268.0,Large-Cap,6.818345799562279,58.71687587168759,HIGH,LOW
51,UPL Ltd.,54,35863,1776,32418.0,Large-Cap,62.342130279299255,22.73669661368348,MODERATE,HIGH
52,Tech Mahindra Ltd.,50,38060,4033,81587.0,Large-Cap,7.892051252976529,-6.143821270653945,NEGATIVE,LOW
53,REC Ltd.,62,30016,4972,22395.0,Large-Cap,17.98278369560945,-13.394878940951054,NEGATIVE,MODERATE
54,IndusInd Bank Ltd.,56,35735,4458,59067.0,Large-Cap,28.050309958075037,35.090909090909086,MODERATE,MODERATE
55,Tata Power Company Ltd.,59,31438,1017,18346.0,Mid-Cap,-5.908056985514187,-53.56164383561644,NEGATIVE,NEGATIVE
56,Sun Pharmaceutical Industries Ltd.,57,33489,3764,121430.0,Large-Cap,11.292413013857965,41.23827392120075,MODERATE,LOW
57,The New India Assurance Company Ltd.,61,30726,1442,18009.0,Mid-Cap,11.265616512764803,138.74172185430464,EXCELLENT,LOW
58,Mangalore Refinery And Petrochemicals Ltd.,40,50313,-3352,4919.0,Small-Cap,-20.891509433962263,-1085.8823529411766,NEGATIVE,NEGATIVE
59,Hero MotoCorp Ltd.,60,30756,3638,60121.0,Large-Cap,-11.41194769283945,5.6329849012775846,LOW,NEGATIVE
60,Max Financial Services Ltd.,89,18241,144,16680.0,Mid-Cap,-6.461207117583713,-45.038167938931295,NEGATIVE,NEGATIVE
61,MMTC Ltd.,71,24171,-227,2587.0,Small-Cap,-18.033843127946014,-310.18518518518516,NEGATIVE,NEGATIVE
62,Bajaj Auto Ltd.,58,31764,5211,87433.0,Large-Cap,-2.2525849335302808,5.764156687639537,LOW,NEGATIVE
63,Aurobindo Pharma Ltd.,72,23290,2830,48229.0,Large-Cap,18.097459560874196,19.712351945854483,MODERATE,MODERATE
64,Adani Power Ltd.,64,27841,-2274,14390.0,Mid-Cap,5.614354538902166,131.09756097560975,EXCELLENT,LOW
65,Bajaj Finance Ltd.,67,26385,5263,258529.0,Large-Cap,42.61391276147235,31.77265898848272,MODERATE,MODERATE
66,Petronet LNG Ltd.,55,35830,2703,36812.0,Large-Cap,-7.939362795477903,21.210762331838566,MODERATE,NEGATIVE
67,Central Bank of India,66,27297,-1255,6856.0,Mid-Cap,8.47639484978541,-77.6531339031339,NEGATIVE,LOW
68,Ambuja Cements Ltd.,65,27704,2095,51283.0,Large-Cap,4.844081138359067,-3.7666513550757923,NEGATIVE,LOW
69,IDBI Bank Ltd.,68,25485,-12835,38587.0,Large-Cap,-0.5928930842142216,-14.353396503403177,NEGATIVE,NEGATIVE
70,Hindustan Zinc Ltd.,83,20495,6805,93622.0,Large-Cap,-10.502183406113536,-14.467068878833587,NEGATIVE,NEGATIVE
71,Avenue Supermarts Ltd.,69,24930,1301,151715.0,Large-Cap,13.302731445711949,44.2350332594235,MODERATE,LOW
72,YES Bank Ltd.,51,38008,-16432,34536.0,Large-Cap,10.813726347706929,-1061.4979520187244,NEGATIVE,LOW
73,Hindustan Aeronautics Ltd.,78,21858,2873,25032.0,Large-Cap,7.834237789837198,26.843267108167773,MODERATE,LOW
74,Chennai Petroleum Corporation Ltd.,52,37347,-2056,1189.0,Small-Cap,-9.800748701847603,902.9268292682926,EXCELLENT,NEGATIVE
75,Indian Overseas Bank,80,20765,-8527,16024.0,Mid-Cap,-4.909099235242937,128.1776826331282,EXCELLENT,NEGATIVE
76,Asian Paints Ltd.,82,20566,2705,209672.0,Large-Cap,4.880412055688715,25.289485873089397,MODERATE,LOW
77,Titan Company Ltd.,79,21204,1501,114073.0,Large-Cap,6.227142928710987,6.908831908831909,LOW,LOW
78,Tata Steel BSL Ltd.,88,18423,-628,3240.0,Small-Cap,-23.81838481577968,-136.70368205727647,NEGATIVE,NEGATIVE
79,Sundaram Clayton Ltd.,85,19914,337,3445.0,Small-Cap,-7.715834839427221,-21.99074074074074,NEGATIVE,NEGATIVE
80,Reliance Infrastructure Ltd.,74,22963,771,529.0,Small-Cap,-31.957449330330682,-131.78070898598514,NEGATIVE,NEGATIVE
81,Ashok Leyland Ltd.,76,22522,336,26155.0,Large-Cap,-33.35700547418257,-83.8306063522618,NEGATIVE,NEGATIVE
82,LIC Housing Finance Ltd.,86,19706,2403,15969.0,Mid-Cap,13.285426846795056,-1.2330456226880395,NEGATIVE,LOW
83,Aditya Birla Capital Ltd.,98,17061,919,18497.0,Mid-Cap,10.807300123400662,5.632183908045977,LOW,LOW
84,TVS Motor Company Ltd.,87,18901,624,22636.0,Large-Cap,-6.3704364194778815,-11.363636363636363,NEGATIVE,NEGATIVE
85,Cipla Ltd.,94,17476,1546,60498.0,Large-Cap,3.789048580591519,1.2442698100851344,LOW,LOW
86,Dr. Reddy's Laboratories Ltd.,90,18193,2026,80385.0,Large-Cap,15.2549889135255,3.897435897435898,LOW,MODERATE
87,Reliance Capital Ltd.,73,23265,-1075,223.0,Small-Cap,12.429323925965303,-28.949107732980835,NEGATIVE,LOW
88,Oil India Ltd.,106,14634,3815,9839.0,Mid-Cap,-8.867854029144352,17.85603954278653,MODERATE,NEGATIVE
89,EID Parry (India) Ltd.,95,17259,467,5301.0,Mid-Cap,3.545716342692585,205.22875816993462,EXCELLENT,LOW
90,PTC India Ltd.,91,18123,367,1539.0,Small-Cap,18.56722276741904,-13.647058823529413,NEGATIVE,MODERATE
91,IDFC First Bank Ltd.,93,17962,-2843,19030.0,Mid-Cap,36.67630497641151,49.08232826428946,MODERATE,MODERATE
92,UCO Bank,92,18005,-2436,11826.0,Mid-Cap,13.63923251704115,-43.624161073825505,NEGATIVE,LOW
93,Bharat Heavy Electricals Ltd.,77,22080,-1466,10111.0,Mid-Cap,-28.840761867930002,-245.00494559841738,NEGATIVE,NEGATIVE
94,Apollo Tyres Ltd.,101,16373,476,9411.0,Mid-Cap,-7.350611136260751,-29.896907216494846,NEGATIVE,NEGATIVE
95,Shriram Transport Finance Company Ltd.,99,16582,2512,22744.0,Large-Cap,6.670955291090383,-2.446601941747573,NEGATIVE,LOW
96,Tata Communications Ltd.,96,17137,-85,28790.0,Large-Cap,3.3158497618616987,3.6585365853658534,LOW,LOW
97,MRF Ltd.,100,16574,1422,30858.0,Large-Cap,0.5459839844697889,25.840707964601773,MODERATE,LOW
98,Federal Bank Ltd.,104,15472,1580,11407.0,Mid-Cap,19.290670778720123,20.060790273556233,MODERATE,MODERATE
