,RANK 2021,COMPANY NAME,2021 REVENUE(₹ Cr),2021 PAT IN CRORES,2021 MARKET CAP(₹ Cr),2021 COMPANY TYPE,2021 REVENUE(₹ Cr)_%CHANGE,2021 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
0,1,Reliance Industries Ltd.,505153,53739,1573893.0,Large-Cap,-17.297308801812687,36.55282817502668,MODERATE,NEGATIVE
1,2,State Bank of India,385337,24279,448717.0,Large-Cap,4.708295970218201,22.82592199119745,MODERATE,LOW
2,3,Indian Oil Corporation Ltd.,368645,21762,122384.0,Large-Cap,-24.538092762190953,-2536.9540873460246,NEGATIVE,NEGATIVE
3,4,Oil And Natural Gas Corporation Ltd.,315262,21343,191776.0,Large-Cap,-22.42339832869081,95.6816723205281,HIGH,NEGATIVE
4,5,Rajesh Exports Ltd.,258315,845,20169.0,Large-Cap,32.05815742790391,-29.87551867219917,NEGATIVE,MODERATE
5,6,Tata Motors Ltd.,254329,-13016,164157.0,Large-Cap,-3.7019227128501435,7.83761391880696,LOW,NEGATIVE
6,7,Bharat Petroleum Corporation Ltd.,237681,17319,88892.0,Large-Cap,-17.443496201819375,466.9067103109656,EXCELLENT,NEGATIVE
7,8,Hindustan Petroleum Corporation Ltd.,236030,10662,45998.0,Large-Cap,-12.831042976958559,304.16982562547383,EXCELLENT,NEGATIVE
8,9,Tata Consultancy Services Ltd.,167311,32562,1292238.0,Large-Cap,3.5718486328548167,0.686456400742115,LOW,LOW
9,10,ICICI Bank Ltd.,161336,20363,530898.0,Large-Cap,7.71100102813347,112.86849257787999,EXCELLENT,LOW
10,11,Tata Steel Ltd.,157690,8189,149144.0,Large-Cap,11.020367932299331,426.2853470437018,EXCELLENT,LOW
11,12,HDFC Bank Ltd.,155885,31856,857288.0,Large-Cap,5.995185900399815,16.889883682530364,MODERATE,LOW
12,13,Larsen & Toubro Ltd.,147646,12906,264394.0,Large-Cap,-0.5529848383815933,35.1555136663525,MODERATE,NEGATIVE
13,14,Housing Development Finance Corporation Ltd.,145992,20487,523505.0,Large-Cap,35.75347306168752,-4.418214052440049,NEGATIVE,MODERATE
14,15,Hindalco Industries Ltd.,133339,3483,101494.0,Large-Cap,11.712564615990416,-7.5391558269179715,NEGATIVE,LOW
15,16,NTPC Ltd.,118213,14969,130589.0,Large-Cap,0.4179373263903637,29.043103448275865,MODERATE,LOW
16,17,Bharti Airtel Ltd.,112386,-12364,429197.0,Large-Cap,24.04909600653436,-61.58220178355032,NEGATIVE,MODERATE
17,18,Infosys Ltd.,102673,19423,729615.0,Large-Cap,9.700408145821314,17.048330721947693,MODERATE,LOW
18,19,Punjab National Bank,94990,2152,45051.0,Large-Cap,47.7156097409262,391.324200913242,EXCELLENT,MODERATE
19,20,Coal India Ltd.,93818,12702,99783.0,Large-Cap,-8.18809022850712,-24.00382912528419,NEGATIVE,NEGATIVE
20,21,Canara Bank,93659,2701,40140.0,Large-Cap,52.14756814711329,-236.00201409869084,NEGATIVE,HIGH
21,22,Vedanta Ltd.,91442,15033,122544.0,Large-Cap,4.856261538637954,-325.58523409363744,NEGATIVE,LOW
22,23,Bank of Baroda,89001,1453,50187.0,Large-Cap,-2.289045517423095,56.74217907227616,HIGH,NEGATIVE
23,24,ICICI Prudential Life Insurance Company Ltd.,84851,956,90465.0,Large-Cap,275.39707118524086,-10.318949343339586,NEGATIVE,EXCELLENT
24,25,Union Bank of India,83210,2828,32647.0,Large-Cap,92.31302579273365,-190.64102564102566,NEGATIVE,HIGH
25,26,SBI Life Insurance Company Ltd.,82779,1455,116722.0,Large-Cap,86.75043992239317,2.320675105485232,LOW,HIGH
26,27,Axis Bank Ltd.,80847,7252,219560.0,Large-Cap,0.9867969072036175,291.3653534808419,EXCELLENT,LOW
27,28,JSW Steel Ltd.,80432,7873,160603.0,Large-Cap,8.88022525449426,95.35980148883375,HIGH,LOW
28,29,Grasim Industries Ltd.,77876,6986,117671.0,Large-Cap,-1.6133311434816116,57.875706214689274,HIGH,NEGATIVE
29,30,Mahindra & Mahindra Ltd.,77077,1512,111131.0,Large-Cap,-20.994475138121548,1090.5511811023623,EXCELLENT,NEGATIVE
30,31,HCL Technologies Ltd.,76306,11169,312572.0,Large-Cap,7.073598540658107,1.0129329836302794,LOW,LOW
31,32,Maruti Suzuki India Ltd.,73477,4389,230905.0,Large-Cap,-7.122813226817676,-22.674418604651162,NEGATIVE,NEGATIVE
32,33,HDFC Life Insurance Company Ltd.,71973,1360,141092.0,Large-Cap,141.94231544977814,4.857363145720894,LOW,EXCELLENT
33,34,Power Finance Corporation Ltd.,71706,15716,34613.0,Large-Cap,15.105303711313727,120.66835158663297,EXCELLENT,MODERATE
34,35,Steel Authority of India (SAIL) Ltd.,70771,4148,47367.0,Large-Cap,12.757313109425786,95.66037735849056,HIGH,LOW
35,36,Wipro Ltd.,64338,10868,355277.0,Large-Cap,0.7406247553433023,11.787698004525819,LOW,LOW
36,37,Bajaj Finserv Ltd.,60591,7367,281424.0,Large-Cap,11.47887842213718,118.6702285544672,EXCELLENT,LOW
37,38,GAIL (India) Ltd.,60210,6142,64068.0,Large-Cap,-21.101254045837536,-34.81214179579707,NEGATIVE,NEGATIVE
38,39,Motherson Sumi Systems Ltd.,58010,1569,73329.0,Large-Cap,-9.110849980415198,34.1025641025641,MODERATE,NEGATIVE
39,40,Redington (India) Ltd.,57041,786,11423.0,Mid-Cap,10.731271717818803,52.62135922330097,HIGH,LOW
40,41,Kotak Mahindra Bank Ltd.,56814,9902,405164.0,Large-Cap,12.804526953241337,15.233329454206912,MODERATE,LOW
41,42,ITC Ltd.,51905,13382,282962.0,Large-Cap,-0.2018842530282638,-12.570233895204494,NEGATIVE,NEGATIVE
42,43,Jindal Steel & Power Ltd.,49997,4267,39911.0,Large-Cap,12.600783748479799,-4014.678899082569,NEGATIVE,LOW
43,44,General Insurance Corporation of India,48594,1824,24889.0,Large-Cap,-6.218156553960167,-608.0779944289693,NEGATIVE,NEGATIVE
44,45,Bank of India,48231,2080,24666.0,Large-Cap,-2.122694157517706,-168.17436905932482,NEGATIVE,NEGATIVE
45,46,Hindustan Unilever Ltd.,47555,7999,561821.0,Large-Cap,17.45745547953664,18.538826318909308,MODERATE,MODERATE
46,47,Indian Bank,45648,3015,20238.0,Large-Cap,84.61538461538461,250.17421602787456,EXCELLENT,HIGH
47,48,UltraTech Cement Ltd.,45605,5461,225360.0,Large-Cap,6.623492004114842,-6.071551427588579,NEGATIVE,LOW
48,49,Vodafone Idea Ltd.,44646,-44233,29867.0,Large-Cap,-4.1293564388327,-40.12696607921168,NEGATIVE,NEGATIVE
49,50,Power Grid Corporation of India Ltd.,41502,12036,133846.0,Large-Cap,1.3776930968782062,8.834433493082557,LOW,LOW
50,51,Adani Enterprises Ltd.,40290,746,180828.0,Large-Cap,-9.285360471923267,-34.44639718804921,NEGATIVE,NEGATIVE
51,52,UPL Ltd.,38994,3495,56322.0,Large-Cap,8.73044642110253,96.79054054054053,HIGH,LOW
52,53,Tech Mahindra Ltd.,38643,4353,150200.0,Large-Cap,1.5317919075144508,7.934540044631788,LOW,LOW
53,54,REC Ltd.,35575,8378,28175.0,Large-Cap,18.52012260127932,68.50362027353178,HIGH,MODERATE
54,55,IndusInd Bank Ltd.,35500,2929,80291.0,Large-Cap,-0.6576185812228907,-34.297891431135035,NEGATIVE,NEGATIVE
55,56,Tata Power Company Ltd.,34391,1438,74877.0,Large-Cap,9.393091163560022,41.396263520157326,MODERATE,LOW
56,57,Sun Pharmaceutical Industries Ltd.,34357,2284,189503.0,Large-Cap,2.5918958463973243,-39.319872476089266,NEGATIVE,LOW
57,58,The New India Assurance Company Ltd.,33813,1627,25264.0,Large-Cap,10.046865846514352,12.829403606102636,LOW,LOW
58,59,Mangalore Refinery And Petrochemicals Ltd.,32155,-764,8356.0,Mid-Cap,-36.0900761234671,-77.20763723150358,NEGATIVE,NEGATIVE
59,60,Hero MotoCorp Ltd.,31517,2936,52961.0,Large-Cap,2.47431395500065,-19.29631665750412,NEGATIVE,LOW
60,61,Max Financial Services Ltd.,31288,559,33243.0,Large-Cap,71.52568389890905,288.19444444444446,EXCELLENT,HIGH
61,62,MMTC Ltd.,30021,-789,6190.0,Mid-Cap,24.202556782921683,247.57709251101323,EXCELLENT,MODERATE
62,63,Bajaj Auto Ltd.,29323,4857,103544.0,Large-Cap,-7.684800402971918,-6.793321819228555,NEGATIVE,NEGATIVE
63,64,Aurobindo Pharma Ltd.,28404,5333,39489.0,Large-Cap,21.957921854873337,88.4452296819788,HIGH,MODERATE
64,65,Adani Power Ltd.,28149,1269,40395.0,Large-Cap,1.1062821019359936,-155.8047493403694,NEGATIVE,LOW
65,66,Bajaj Finance Ltd.,26683,4419,444022.0,Large-Cap,1.1294296001516013,-16.036481094432833,NEGATIVE,LOW
66,67,Petronet LNG Ltd.,26400,2939,34378.0,Large-Cap,-26.31872732347195,8.73103958564558,LOW,NEGATIVE
67,68,Central Bank of India,25991,-878,18881.0,Mid-Cap,-4.784408543063341,-30.039840637450197,NEGATIVE,NEGATIVE
68,69,Ambuja Cements Ltd.,24980,3106,80415.0,Large-Cap,-9.832515160265666,48.25775656324582,MODERATE,NEGATIVE
69,70,IDBI Bank Ltd.,24803,1448,53216.0,Large-Cap,-2.6760839709633117,-111.2816517335411,NEGATIVE,NEGATIVE
70,71,Hindustan Zinc Ltd.,24448,7980,136791.0,Large-Cap,19.28763112954379,17.266715650257165,MODERATE,MODERATE
71,72,Avenue Supermarts Ltd.,24339,1099,314354.0,Large-Cap,-2.3706377858002408,-15.526518063028439,NEGATIVE,NEGATIVE
72,73,YES Bank Ltd.,23475,-3488,32233.0,Large-Cap,-38.236687013260365,-78.77312560856865,NEGATIVE,NEGATIVE
73,74,Hindustan Aeronautics Ltd.,23119,3239,45478.0,Large-Cap,5.769054808308171,12.739296902192828,LOW,LOW
74,75,Chennai Petroleum Corporation Ltd.,22626,257,1720.0,Small-Cap,-39.4168206281629,-112.5,NEGATIVE,NEGATIVE
75,76,Indian Overseas Bank,22524,831,40073.0,Large-Cap,8.470984830243196,-109.74551424885657,NEGATIVE,LOW
76,77,Asian Paints Ltd.,22044,3206,302574.0,Large-Cap,7.18661869104347,18.521256931608132,MODERATE,LOW
77,78,Titan Company Ltd.,21830,974,217072.0,Large-Cap,2.9522731560083004,-35.10992671552298,NEGATIVE,LOW
78,79,Tata Steel BSL Ltd.,21510,2518,9584.0,Mid-Cap,16.756228627259404,-500.95541401273886,NEGATIVE,MODERATE
79,80,Sundaram Clayton Ltd.,20361,592,8932.0,Mid-Cap,2.244652003615547,75.66765578635015,HIGH,LOW
80,81,Reliance Infrastructure Ltd.,20284,-144,2204.0,Small-Cap,-11.66659408613857,-118.67704280155642,NEGATIVE,NEGATIVE
81,82,Ashok Leyland Ltd.,20047,-69,41124.0,Large-Cap,-10.989254950714857,-120.53571428571428,NEGATIVE,NEGATIVE
82,83,LIC Housing Finance Ltd.,19880,2741,22641.0,Large-Cap,0.882979803105653,14.06575114440283,LOW,LOW
83,84,Aditya Birla Capital Ltd.,19542,1105,25574.0,Large-Cap,14.541937752769474,20.239390642002174,MODERATE,LOW
84,85,TVS Motor Company Ltd.,19468,607,33896.0,Large-Cap,2.9998412782392467,-2.7243589743589745,NEGATIVE,LOW
85,86,Cipla Ltd.,19425,2401,74025.0,Large-Cap,11.152437628747998,55.30401034928849,HIGH,LOW
86,87,Dr. Reddy's Laboratories Ltd.,19386,1951,78901.0,Large-Cap,6.5574671576980155,-3.7018756169792693,NEGATIVE,LOW
87,88,Reliance Capital Ltd.,19308,-9287,470.0,Small-Cap,-17.008381689232756,763.9069767441861,EXCELLENT,NEGATIVE
88,89,Oil India Ltd.,19249,4145,23202.0,Large-Cap,31.53614869482028,8.650065530799477,LOW,MODERATE
89,90,EID Parry (India) Ltd.,18678,999,8564.0,Mid-Cap,8.221797323135755,113.9186295503212,EXCELLENT,LOW
90,91,PTC India Ltd.,18373,457,3545.0,Small-Cap,1.379462561386084,24.52316076294278,MODERATE,LOW
91,92,IDFC First Bank Ltd.,18221,483,30791.0,Large-Cap,1.4419329696024943,-116.98909602532537,NEGATIVE,LOW
92,93,UCO Bank,18166,167,16551.0,Mid-Cap,0.8941960566509304,-106.85550082101807,NEGATIVE,LOW
93,94,Bharat Heavy Electricals Ltd.,17701,-2699,22771.0,Large-Cap,-19.832427536231883,84.10641200545702,HIGH,NEGATIVE
94,95,Apollo Tyres Ltd.,17526,350,14201.0,Mid-Cap,7.042081475600074,-26.47058823529412,NEGATIVE,LOW
95,96,Shriram Transport Finance Company Ltd.,17436,2487,42270.0,Large-Cap,5.150162827161983,-0.9952229299363057,NEGATIVE,LOW
96,97,Tata Communications Ltd.,17348,1253,35909.0,Large-Cap,1.2312540117873607,-1574.1176470588234,NEGATIVE,LOW
97,99,MRF Ltd.,16373,1277,32812.0,Large-Cap,-1.2127428502473754,-10.196905766526019,NEGATIVE,NEGATIVE
98,100,Federal Bank Ltd.,16271,1647,20250.0,Large-Cap,5.16416752843847,4.240506329113924,LOW,LOW
99,102,NMDC Ltd.,15722,6247,41306.0,Large-Cap,26.892655367231637,74.88801791713325,HIGH,MODERATE
100,104,InterGlobe Aviation Ltd.,15677,-5806,83073.0,Large-Cap,-57.96036577190207,2391.8454935622317,EXCELLENT,NEGATIVE
101,105,Exide Industries Ltd.,15367,803,14958.0,Mid-Cap,5.745939994494908,3.479381443298969,LOW,LOW
102,106,Lupin Ltd.,15300,1227,41696.0,Large-Cap,-4.327163581790895,-556.1338289962825,NEGATIVE,NEGATIVE
103,107,Adani Ports & Special Economic Zone Ltd.,15235,5048,148552.0,Large-Cap,10.929081112567351,34.148285942067496,MODERATE,LOW
104,108,Indus Towers Ltd.,15216,3779,77881.0,Large-Cap,77.15682850157177,14.584596725288055,LOW,HIGH
105,109,Cadila Healthcare Ltd.,15139,2137,49154.0,Large-Cap,5.37342521055196,81.71768707482994,HIGH,LOW
106,110,Bandhan Bank Ltd.,14633,2205,48538.0,Large-Cap,17.68537880006434,-27.0592127026133,NEGATIVE,MODERATE
107,111,Bank of Maharashtra,14515,571,13757.0,Mid-Cap,10.338274420372482,43.46733668341709,MODERATE,LOW
108,112,L&T Finance Holdings Ltd.,14305,948,20344.0,Large-Cap,-1.8255438885457416,-44.23529411764706,NEGATIVE,NEGATIVE
109,113,Coromandel International Ltd.,14262,1329,22752.0,Large-Cap,8.234044167868255,24.788732394366196,MODERATE,LOW
110,114,Bharat Electronics Ltd.,14233,2069,51171.0,Large-Cap,8.923241754036887,13.494240263302249,LOW,LOW
111,115,ACC Ltd.,14011,1430,45795.0,Large-Cap,-12.376485303314572,3.848946986201888,LOW,NEGATIVE
112,116,Shree Cements Ltd.,13942,2289,100890.0,Large-Cap,6.087353523055851,49.6078431372549,MODERATE,LOW
113,117,Cholamandalam Financial Holdings Ltd.,13904,1763,13109.0,Mid-Cap,5.854586981347545,220.54545454545456,EXCELLENT,LOW
114,118,Bombay Burmah Trading Corporation Ltd.,13734,1277,7573.0,Mid-Cap,11.242507694799937,113.54515050167224,EXCELLENT,LOW
115,119,Piramal Enterprises Ltd.,13612,1412,62754.0,Large-Cap,-6.913765985091978,5783.333333333334,EXCELLENT,NEGATIVE
116,120,Nestle India Ltd.,13495,2082,184103.0,Large-Cap,6.97582243361078,5.738953783646521,LOW,LOW
117,121,Britannia Industries Ltd.,13449,1850,87551.0,Large-Cap,13.216600723966664,31.95435092724679,MODERATE,LOW
118,122,Kalpataru Power Transmissions Ltd.,13226,662,6093.0,Mid-Cap,3.9534700935313998,70.17994858611826,HIGH,LOW
119,123,Chambal Fertilisers & Chemicals Ltd.,13183,1747,15090.0,Mid-Cap,5.3628516624040925,42.49592169657422,MODERATE,LOW
120,124,KEC International Ltd.,13144,552,11904.0,Mid-Cap,9.752839011356047,-2.3008849557522124,NEGATIVE,LOW
121,125,ICICI Lombard General Insurance Company Ltd.,12678,1473,73517.0,Large-Cap,1.8313253012048194,23.47024308466052,MODERATE,LOW
